name;location;description
Sazak koyu;30.4758382,36.3967603;Olimpos, Antalya'ya 85,7 km. uzaklikta, Caretta Caretta kaplumbagalarinin yavrulama alani oldugundan sit alani olarak korunan, genellikle universite ogrencileri ve sirt cantali kampcilarin tercih ettigi harika bir yerdir. Antik kent olmasi nedeniyle sahilde kamp yapmak yasaktir. Kamp yapmak icin ucretli ozel kamping isletmeleri tercih edilmelidir.BLOG: https://www.kampyerleri.org/olimpos-kamp-alanlari-olympos-antik-kenti-antalya/Kaynak: https://www.instagram.com/eda_karacaoglu/
Çıralı Sahili;31.7445016,36.6384095;Vosvos Alanya grubunun kamp fotograflari icin tesekkur ediyoruz.
Kral Koyu;30.9074271,37.1986038;Kral Havuzu - Serik/Antalya Orman icerisinden cam agaclarinin arasindan gelen buz gibi suyun, kirectasi birikintilerinin olusturdugu dogal havuzda bulustugu tek kelimeyle doga harikasi bir yer   Antalya sehir merkezine yaklasik 65 km mesafede bulunuyor, son 7-8 km toprak yol fakat her arac rahatlikla gidebilir. Navigasyona Kral havuzu yazdiginizda cikan konumun son noktasina kadar gidiyorsunuz toprak yol devam ediyor ama tam bu noktada aracinizi birakiyorsunuz hatta tek katli bir evin oldugu yer. Hemen sol tarafta yon tabelasi goreceksiniz uzerinde bir sey yazmayan iste o noktadan patika yol basliyor kayalar uzerindeki kirmizi boyalari takip ederek yer yer dere kenarindan gecerek yaklasik 1,5 km yuruyorsunuz ve karsinizda gercekten essiz manzarasiyla Kral HavuzuSerinlemenin tadini cikarin Patika yoldan devam ederek Ucansu 1 ve 2 selalelerinide gorebilirsiniz.  Kamp yapilabilir. Su, Tuvalet ve isletme yok. Telefon internet cekmiyor. Neden bu kadar ayrintili yol tarifi verdin diyenler olacak? - Cevabimiz bizi takip edenlerin dogayi ve yesili seven kisiler oldugunu dusundugumuzden.BLOG: https://www.kampyerleri.org/ucansu-selalesi-kamp-alani-antalya/Kaynak: https://www.instagram.com/ozgursrcu/
Maden Koyu;30.5162644,36.4786289;Tekirova, Cennet Koyu, Antalya.Kaynak: https://www.instagram.com/veli0282/
Tekirova Beach;30.5731541,36.7952261;Kucuk Calticak, Antalya.Kaynak: https://www.instagram.com/sistersoffline/
Galgamaç Şelalesi ve Toprakhisar Kanyonu;36.5291119,37.5414808;Kahramanmaras merkeze bagli Topcali Koyu ve Andirin Alanli Koyu sinirlari icerisinde olan Toprakhisar Kanyonu ve Galgamac Selalesi kamp veya doga sporlari yapmak icin oldukca musait bir alana sahip.Kaynak: https://www.instagram.com/merveyprk/
Topçam;30.5839849,36.8093191;Topcam - Antalya
Sarısu Mesire Alanı;32.2353083,36.3197241;Aytap Antik Kenti, Ugrak Koyu, Alanya, AntalyaTurizmin cenneti olan Antalya'nin en buyuk ilcesi Alanya ve dogudaki son ilcesi Gazipasa arasinda gorulup yuzulmesi gereken bir suru koy bulunmaktadir. O koylardan biri de Aytap Antik Kenti'nin bulundugu koydur. Alanya'nin 34 kilometre dogusunda eski Gazipasa yolu uzerinde Gazipasa'ya ise 10 kilometre uzaklikta bir koyda bulunan Aytap Antik Kenti, kamp ve doga sporlari yapmak icin ideal bir mekandir. Koyda tesis olmadigi icin tuvalet, icme suyu ve elektrik gibi imkanlar yoktur. Aytap'a gidenler coplerini geri goturmeyi unutmasin.Kaynak: https://www.instagram.com/keramialtinay/BLOG: https://www.kampyerleri.org/alanyada-gezilecek-yerlerden-birisi-de-aytap-antik-kenti/
Delik Deniz ve Kral Koyu;32.4167919,36.1547689;Delik Deniz ve Kral Koyu birer doga harikasi koy olup, Gazipasaya 23 km, Alanya'ya 67 km uzakliktadir. Guneykoy Koyunun Nohut Yeri mevkinde yer alan kalenin sol tarafinda yer alir. Koylara Antiochia Ad Cragum antik kenti icinden gecilerek gidilmektedir. Koylar yine ayni kentin kiyi kisminda yer alan kalintilari arasinda bulunmaktadir. Dogal guzelliklerle tarih burada ic ice yer almaktadir. Delik Deniz'de kamp yapilabilmektedir.Kaynak: https://www.instagram.com/berkulami_/
Zeytinada (Seyfe);32.4549866,36.1370429;Zeytinada, Gazipasa, Antalya.Kaynak: https://www.instagram.com/beingontheroad/
Körsulu Deresi;36.6268623,37.6377097;Korsulu Deresi, Andirin, Kahramanmaras.Kaynak: https://www.instagram.com/muhbilal462/
Pullu 1 Mesire Yeri;34.1146302,36.4384693;Akyar Koyu, Narlikuyu, Silifke, Mersin.Kaynak: https://www.instagram.com/hasantokaloglu/
Yumurtalık Lagünü Milli Parkı;35.5537962999999,36.6937816;https://www.kampyerleri.org/adana-kamp-alanlari/
Arsuz Hatay Plajı;34.9117509,37.346097;https://www.kampyerleri.org/adana-kamp-alanlari/
Karataş Tabiat Parkı;35.402229,36.574588;https://www.kampyerleri.org/adana-kamp-alanlari/
Toprak Kamping;35.7304645,36.764904;https://www.kampyerleri.org/adana-kamp-alanlari/
Medcezir Camping;35.7321075,36.7655113;https://www.kampyerleri.org/adana-kamp-alanlari/
Yılmaz Kamping;35.7298712,36.7650249;https://www.kampyerleri.org/adana-kamp-alanlari/
Can Camping;35.73204,36.767756;https://www.kampyerleri.org/adana-kamp-alanlari/
Kapıkaya Kanyonu Kamp Alanı;34.9776773,37.2430003;https://www.kampyerleri.org/adana-kamp-alanlari/
Çakıtsuyu Çayı (Çakıt Vadisi);34.906083,37.3182131;https://www.kampyerleri.org/adana-kamp-alanlari/
Ege Bölgesi;29.1395197,36.5640336;@oludeniz_aydede_camping Likya Yolu baslangic noktasi tabelasina 50 metre, Oludeniz Belcekiz Plaji'na aracla 5 dk uzaklikta bulunan, dogayla ic ice, tertemiz bir aile isletmesi ___ Oludeniz Aydede Camping   https://www.instagram.com/oludeniz_aydede_camping/05332972390_ 4-5 kisilik mini bungalov 4 kisilik hazir kurulu cadirlarKendi cadirinizla konaklama imkani Karavan alani Likya Yolu yuruyus parkuru baslangic noktasinda  Kolay ulasim Dag ve Orman manzarali Citlerle cevrili, guvenlik kameralariyla korunakli Cocuklu Ailelere Uygun Hayvan dostu isletme Temizlik ve Hijyen Kurallarina Uygun Konaklama ve kahvalti Alanlari Sosyal Mesafeye UygunUcretsiz sicak dus-   Otopark(ucretsiz) Internet - wifi (ucretsiz) Bulasik yikama alani (ucretsiz) Ortak kullanim buzdolaplari (ucretsiz)Camasir makinesi calistirma 40L (deterjanini veriyoruz)Kahvalti tabagi 35LOludeniz 5 dk, Kelebekler vadisi 30 dk, Kayakoy 20 dk (arac ile)Toplu tasimaya cok yakin Yakin mesafede zincir marketlerFiyatlar icin isletme ile iletisime geciniz.
Magic Farm & Camping Fethiye Çalış;29.1139125,36.673991;@magicfarmandcamping_fethiye  Mugla Fethiye'de sevdiklerinizle birlikte dogayla ic ice, huzurlu ve izole bir cadir veya karavan kampi yapmaya ne dersiniz?_________ Magic Farm & Camp 05549645624http://hellopansiyon.com/camping.htmlhttps://www.instagram.com/magicfarmandcamping_fethiye/_________Cadir Kiralama Hizmeti100 Cadir Kapasitesi20 Karavan KapasitesiDenize 800 mt uzakliginda KampCocuklu Ailelere UygunTemizlik ve Hijyen Kurallarina UygunCadir Alanlari Sosyal Mesafeye UygunUcretsiz OtoparkUcretsiz Wi-Fi Sicak Su ve Dus ImkaniOrtak Kullanim Bulasik Yikama YeriOrtak Kullanim Buzdolaplari Ates YakilabilirMangal YakilabilirCadirlara kablonuz ile elektirik cekilebilir.Fethiye Merkeze 5 km Mesafede250 Metre Mesafede MarketUygun FiyatFiyatlar icin isletme ile iletisime geciniz.
Oba Beach Hotel;29.115871,36.553226;Mugla'da Fethiye merkeze 15 km uzaklikta bulunan Oba Beach Hotel  1992'den bu yana siz degerli misafirlerimize hizmet vermektedir. Yenilenen odalarimiz ve yenilenen adimizla sizleri yesilin ve ahsabin bulustugu essiz oludeniz manzarasiyla agirlamatktan mutluluk duyariz. Oba beach hotel'de genis alanlariyla dikkat ceken odalarimiz ve suitlerimiz konforun bir araya geldigi mukemmel bir ortam sunar. Huzurlu ve sakin bir tatil istiyorsaniz Oba Beach Hotel tam size gore. : 0252 617 01 58 : https://www.obamotel.com.trINSTAGRAM: https://www.instagram.com/oba_beach_hotel/
Begonvil Türkbükü Köy Kahvaltısı & Kamp;27.3852381,37.1189623;* Begonvil Turkbuku, etrafi cevrili ve guvenlikli olup ihtiyaclariniz dogrultusunda kullanabileceginiz dus ve tuvaletlerde sicak su imkani saglanmaktadir. Yikama, pisirme gibi gunluk ihtiyaclarinizi karsilayabileceginiz alan, ortak acik mutfakta saglanmakta ve bahcenin belirli bolumlerinde kullanabileceginiz prizler bulunmaktadir. Diger ihtiyaclarinizi karsilayabileceginiz market, bufe, firin tesisimize cok yakin olup merkez icinde dogal bir ortamdir. * Begonvil Turkbuku onunden kalkan dolmuslar bodrum merkeze ve eglence mekanlarina gitmektedir. Maca kizi beach, Chia beach, Divan beach, Daze club, Sess club'a 5 dakika uzakliktadir. Tesisimizin denize olan mesafesi 150 metredir.* Konaklayan musterilerimize kahvalti hizmetimiz indirimli uygulanmaktadir.* Kendi cadiriniz ile gelirseniz kisi basi 50 TL* Tek kisilik serpme koy kahvalti ucretimiz 40 TL* Bungalov kil cadiri kisi basi 100 TL* 0-7 yas ucretsiz, 7-12 yas %50 indirimlidir. : https://www.begonvilturkbuku.com/ : 0542 408 28 04 : https://www.instagram.com/begonvilturkbuku/
Selenes Pansiyon & Camping & Restaurant;27.5238921,37.5011825;Doganin tarihle bulustugu bircok aktivite ve trekking parkurunun bulundugu cennetten bir kose olarak nitelendirilen ve Ege mutfaginin muhtesem lezzetlerini tadabileceginiz ayni zamanda sehrin gurultusunden uzaklasip huzur bulabileceginiz bir yerde dinlenmeye ne dersiniz? ISTE bizim size altin tavsiyemiz. Asla pisman olmayacaksiniz.BURAYA BERABER GITMEK ISTEDIGIN ARKADASINI ETIKETLE, BAKARSINIZ SIZE BIR SURPRIZIMIZ OLUR _______________________Selenes Pansiyon & Camping & Restaurant05423164550 Web: www.selenespansion.com_________________________ 2-6 Kisilik Bungalov ve Tas EvlerCadir Kiralama Hizmeti40 Cadir Kapasitesi Bisiklet Kiralama Dagcilik Ekipmanlari Kiralama Trekking RehberligiKolay Ulasim Gol ve Latmos Dagi Manzarali Kamp ve Bungalov Yoga Platformu Spor AlaniCocuklu Ailelere UygunTemizlik ve Hijyen Kurallarina UygunCadir Alanlari Sosyal Mesafeye UygunUcretsiz Otopark Sicak Su ve Dus ImkaniUcretsiz internet Ortak Kullanim MutfakAtes Yakilabilir Elektrik var Bafa merkeze 9 km, Milas'a 39 km, Milas Havaalani 55 km, Didim 60 km, Kusadasi 80km, Bodrum 80 km Mesafede Yakin Mesafede MarketUygun FiyatFiyatlar icin isletme ile iletisime geciniz.
Ölüdeniz Orman Kampı;29.1291458,36.568511; Oludeniz Orman Kampi 05414959220_________Cadir Kiralama Hizmeti30 Cadir KapasitesiKolay Ulasim Yurume Mesafesinde Toplu Tasima Araci GecerDeniz Manzarali KampCocuklu Ailelere UygunTemizlik ve Hijyen Kurallarina UygunCadir Alanlari Sosyal Mesafeye UygunUcretsiz Otopark Sicak Su ve Dus ImkaniOrtak Kullanim MutfakAtes Yakilabilir Mangal Yerleri Elektrik var Hisaronu Merkeze 800 metre Mesafede  Oludeniz600 Metre Mesafede MarketUygun FiyatFiyatlar 30L________https://www.instagram.com/oludenizkamp/
Göçebe Bodrum | Kamp Alanı;27.6564254760742,37.1438064575195;Gocebe Bodrum CampingInstagram: https://www.instagram.com/gocebebodrum/____________________ 05331604368 05346737200____________________Gocebe cadiri evler (2-4 kisilik)Cadirini al gel genis kamp alani80 Cadir KapasitesiKolay Ulasim 20 dk toplu tasima araci gecerBol yesilli ve mavili bir ortamCocuklu Ailelere UygunTemizlik ve Hijyen Kurallarina UygunCadir Alanlari Sosyal Mesafeye UygunUcretsiz OtoparkUcretsiz Wi-Fi Sicak Su ve Dus ImkaniOrtak Kullanim MutfakAtes Yakilabilir Mangal YerleriHer Cadira Ozel PrizRestaurant ve CafeBodrum merkeze 30km Mesafede Plajlara 8 km2km Mesafede Market Ozel araclarla plaj ve sehir merkezine servisATV turlariOFF-ROAD jeep turlariTekne Turlari organizasyonu Motorlu arac kiralama servisiUygun FiyatFiyatlar icin isletme ile iletisime geciniz.
AZMAKBAŞI CAMPING;28.095895,37.032984; Azmakbasi Camping 02525291221 05432078366____________________Website: www.azmakbasicamping.comInstagram: https://www.instagram.com/azmakbasicamping/____________________Bungalov Evler (2-4 kisilik)Cadir Kiralama Hizmeti30 Unite Cadir Kapasitesi5 Unite Karavan KapasitesiKolay Ulasim iki dk toplu tasima araci gecerDeniz-Gol ve Dag Manzarali KampCocuklu Ailelere UygunTemizlik ve Hijyen Kurallarina UygunCadir Alanlari Sosyal Mesafeye UygunUcretsiz OtoparkUcretsiz Wi-Fi Sicak Su ve Dus ImkaniOrtak Kullanim Bulasik Yikama YeriOrtak Kullanim Buzdolaplari Ates Yakilabilir (Personel Tarafindan)Mangal YasakCadirlara kablonuz ile elektirik cekilebilr.Restaurant ve CafeFethiye Merkeze 3Km Mesafede Valilik bunyesinde denetimli plaj150 Metre Mesafede MarketUygun FiyatFiyatlar icin isletme ile iletisime geciniz.
Dalyan Doğa Camping;28.6699596,36.8377306; Dalyan Doga Camping   https://www.instagram.com/dalyandogacamping/ 0555 333 02 06______Bungalov Evler (2-4 kisilik)Cadir Kiralama Hizmeti25 Cadir KapasitesiKolay UlasimOrman Manzarali KampCocuklu Ailelere UygunTemizlik ve Hijyen Kurallarina UygunCadir Alanlari Sosyal Mesafeye UygunUcretsiz OtoparkUcretsiz Wi-Fi24 Saat Sicak Su ve Dus ImkaniOrtak Kullanim MutfakAtes Yakilabilir Mangal YerleriHer Cadira Ozel PrizRestaurant ve CafeDalyan Merkeze 1 Km MesafedeYakin Plajlar (Iztuzu 12km, Sarigerme 15km, Gocek koylari 20km, Akyaka 35km) & Yuvarlak Cay 13km150 Metre Mesafede MarketUygun FiyatFiyatlar icin isletme ile iletisime geciniz.
Mona Glamping Caravan Suites;26.7918945,38.1879088; Mona Glamping Caravan Suites   @monacamping 0541 814 0914Web site: Website: https://www.monacamp.com/________- 5 Sabit Cekme Karavan Suit Oda- 3 Adet Glamping Cadir- Ozel Banyo ve Tuvaletler- Ortak Kullanim Acik Kamp Mutfagi- Ates ve Mangal Yakilabilir- Sahile, Kaleicine ve Teos Antik Kenti'ne 15-20 dk Yurume Mesafesi- Mandalina ve Zeytin Agaclari Altinda Ucretsiz Otopark Cocuklu Ailelere Uygun- Tum Operatorler Cekiyor Yeme-Icme Hizmeti Verilmemektedir, Isletmeye Servis Hizmeti Veren Restoranlar Vardir Fiyatlar icin isletme ile iletisime geciniz.
Lotus Beach Clup Camping;29.103449,36.670644; Lotus Beach Clup Camping 05064831157__Bungalov Evler (2-4 kisilik)Cadir Kiralama Hizmeti80 Cadir KapasitesiKolay Ulasim iki dk toplu tasima araci gecerDeniz Manzarali KampCocuklu Ailelere UygunTemizlik ve Hijyen Kurallarina UygunCadir Alanlari Sosyal Mesafeye UygunUcretsiz OtoparkUcretsiz Wi-Fi Sicak Su ve Dus ImkaniOrtak Kullanim MutfakAtes Yakilabilir Mangal YerleriHer Cadira Ozel PrizRestaurant ve CafeFethiye Merkeze 3Km Mesafede  Plaji var kendine ait150 Metre Mesafede MarketUygun FiyatFiyatlar icin isletme ile iletisime geciniz.
Fullmoon Camping;29.127189,36.467263; Fullmoon Camping   @fullmooncamping 0536 729 22 38________ Kahvalti ve Aksam Yemegi Dahil Akdeniz Mutfagi Ucretsiz Otopark Cocuklu Ailelere Uygun Yuksek Hizda Internet (WiFi) Kabak Koyu'na Yurume Mesafesi Farkli Ozellikte Bungalov 2-3 Kisilik Bungalov Evler Deniz, Orman, Dag Manzarali Evler A La Carte Restaurant ve Bar Kabak Koyu Manzarali Yuzme Havuzu Fiyatlar icin isletme ile iletisime geciniz.____________________Website: http://www.fullmooncamping.com/
Bodrum Masalı Camping;27.2543039,37.0432667;Bodrum Gumusluk'te dogayla icice mandalina agaclarinin arasinda bulunan cadir kamp alanimiz aileniz ve arkadaslariniz ile birlikte huzurlu bir tatil gecirmenize olanak saglar. Kamp alanimiz Gumusluk Koyu'ne yuruyus mesafesinde, Turgutreis'e 7 km, Bodrum'a 22 km, Bodrum hava alanina 56 km'dir. Kamp alanina 300 mt mesafede bulunan dolmus duragindan tum bu yerlere ve Bodrum'un en guzel plajlarina kisa surede ulasabilirsiniz. Isterseniz keyifli bir yuruyusle de cok guzel kumsali olan kadikalesi pilajina, kampimizdan yuruyerek gidebilirsiniz. Kamp alanimizda otopark, wifi, dus, tuvalet, mutfak, buzdolabi, ocak, mangal ve ayrica ortak alanlardaki elektirigi ucretsiz olarak kullanabilirsiniz. Konaklama olarak sizler icin 3 farkli alternatifimiz bulunmaktadir. Isterseniz kendi cadirinizi kurabilirsiniz , isterseniz icinde uc kisilik yayli yatak, pike, carsaf takimi, yastik bulunan bizim sizler icin kurdugumuz cadirlarda kalabilirsiniz, isterseniz de icinde 3 ranza, kendi dus/tuvaleti ve kiyafet dolabi bulunan hostelimizde konaklayabilirsiniz. Hostelde de yatak, carsaf takimi ve yastik ucretsiz olarak verilmektedir. Ailenizle ve arkadaslarinizla huzurlu ve eglenceli bir tatil gecirebileceginiz kampimizda, agaclara kurulmus hamaklarda kitabinizi okuyabilir, ortak alanimizda sizin icin bulundurdugumuz tavla, okey, mangala ve tabu gibi pek cok oyunu oynayabilir ve geceleri kamp atesi etrafinda keyifli sohbetler yapabilirsiniz. Kendim yemek yapmakla ugrasmak istemiyorum diyenler icin de kahvalti, oglen ve aksam yemeklerini koyumuzde anlastigimiz gunluk tazecik yemekler yapan restaurantimizda hazirlatip getirtebiliriz.Fiyatlarimiz:-Kendi cadirinizla gelirseniz kisi basi : 30 L-Bizim cadirimiz 3 kisilik icindeki ekipmanlarla birlikte hazir : 120 L- Hostel kisi basi : 50 L- Kahvalti : 20 L- Oglen ve aksam yemekleri : 20' ser LILETISIM: 0533 27831200252 3943637WEB: https://www.bodrummasalicamping.comIG: https://www.instagram.com/bodrummasalicamping/BLOG: https://www.kampyerleri.org/bodrumda-kamp-alani-onerisi-bodrum-masali-camping/
Angora Restaurant & Motel & Camping;28.1279658999999,36.7992179;ANGORARestaurantMotelCamping 0533416668802524666364instagram:angorarestaurantmotelcampingfacebook: @Angorarestaurant Motel Odalari (2-3 kisilik) Cadirini al gel kamp alani 30 cadir kapasitesi Kolay ulasim 60 dk toplu tasima araci yakin Bol yesilli ve mavili bir ortam Denize sifir Ailelere uygun Temizlik ve hijyen kurallarina uygun Cadir alani ve ortak alanlar sosyal mesafeye uygun[P] Ucretsiz otopark  Ucretsiz Wi-Fi  Sicaksu ve dus imkaniOrtak kullanim mutfak Ortak priz Ortak Buzdolabi (kamp ici) Restaurant Cafe BarMarmaris Merkeze 18 km mesafe Plaja sifir mesafe Yurume mesafesinde market Doga yuruyusu ve tracking Su sporlari  Gezilecek doga, plaj ve tarihi yerlere yakinFiyatlar icin isletme ile iletisime geciniz
Bodrum Ecofarm Kamp & Hostel;27.2671108,37.0209619;@bodrumecofarmkamp Bodrum Ecofarm Kamp & Hostel  Bodrum'da 7 donumluk bir alana kurulu olup 2013 yilindan beri dunyanin her yerinden misafirlerini agirlamaktadir. Kamp alaninda  portakal ve  mandalina agaclarinin altinda, bol golgeli bahcede kamp yapabilirsiniz.  Kampta 24 saat kesintisiz sicak su, ucretsiz Wi-Fi imkani bulunmaktadir.  Ayrica cay ve su gun boyu ucretsizdir.  Kahvalti ve aksam yemegi fiyata dahildir.  Konum olarak her yere yakin olan kamp alaninin tam onunden dolmuslarda geciyor.  Kendi cadiriniz ile gelip rahatlikla konaklayabilirsiniz... : www.bodrumecofarmkamp.com/ : 0536 229 46 74 : https://www.instagram.com/bodrumecofarmkamp/
Palmira Bungalow & Camping;28.1011176,36.7036921;Palmira Bungalow & Camping  2018 yilinda tamamen yenilenen yuzuyle Marmaris'e 45 km mesafede bulunan Selimiye Koyu'ndeki tek cadir camping alanidir. Palmira Bungalow & Camping, dogayla ic ice, uc donum bahce icerisinde bulunan 6 adet bungalow ve 6 adet cadir alanindan olusmaktadir. Denize 100 metre mesafede bulunan tesisin sahildeki sezlonglarini ucretsiz olarak kullanabilirsiniz. Odalarin tamaminda ozel banyo ve tuvalet , klima, wi-fi bulunmaktadir. Cadir alanlarinda ise ortak kullanim dus, wc, ucretsiz wi-fi baglantisi, camasir yikama hizmeti(ek ucrete tabidir) ve her cadir alanina ozel elektirik hatti mevcuttur. Gerek bungalow gerekse cadir konaklamalarinda kahvaltinin ucrete dahil oldugu tesiste aksam yemekleri menusune de goz atmanizi tavsiye ederiz. Selimiye'nin benzersiz deniz manzarasi esliginde unutamayacaginiz bir tatil sizleri bekliyor. Gerek bungalowlarda gerekse cadir kampi tatillerinde yolunuzun Palmira Bungalow & Camping'e dusmesini beklemeyin, unutulmaz bir tatil icin siz dusun yollara. Not: Tesiste evcil hayvan kabul edilmektedir.TELEFON: 0532 585 98 07TELEFON: 0555 882 69 64WEB SITE: http://www.palmirabungalowcamping.com/INSTAGRAM: https://www.instagram.com/palmirabungalowcamping/FACEBOOK: https://www.facebook.com/Palmira-Bungalow-Camping-2032737596994895/
Han Pension, Restaurant, Camping;29.087124,36.583149;Kayakoy'de yer alan Han Pension, her mevsim meyve veren agaclari olan genis bol yesillikli bir bahcedir. Oludeniz Plaji arabayla 20 dakika uzakliktadir. Pansiyon, kucuk koy evleri ve ahsap bungalovlarda odalar sunar. Konaklama birimlerinin her birinde tuvalet ve dus mevcuttur. Dileyen cadir veye karavan ile de gelebilmektedir. Ucretsiz Wi-Fi erisimi de vardir. Gune bahceden toplanan meyvelerle uretilen organik recellerimiz ve taze koy yumurtasi ile hazirladigimiz geleneksel kahvaltinin keyfiyle baslayabilirsiniz. Kayakoy Muzesi, Han Pension'a sadece 500 metre mesafededir. Hisaronu 6 km, Gemiler Koyu ise 8 km uzakliktadir. Dalaman Havaalani 60 km mesafede yer alir. Han'da konaklama harici sanat etkinliklerimizde mevcuttur. Dilerseniz seramik dersi alarak kendi hatiraliginizi yaratabilirsiniz. Muzikle ilgileniyorsaniz ritim dersi ile vucut ritminiz kesfedebilir  yoga dersleriyle ruhunuzu dinlendirebilirsiniz.TELEFON: 0252 618 02 03TELEFON: 0530 326 28 58WEB SITE: http://hankayakoy.com/INSTAGRAM: https://www.instagram.com/hankayakoy/
Kelebekler Vadisi;29.1266119,36.4970968;Fethiye oludenize bagli yuksek daglarla cevrili bir koy. Deniz piril piril ama fazla dalgali. Selaleye tirmanirken rahat ayakkabi goturulmesi gereken bir yer. Cadiriniz varsa sabah kahvaltisi ve aksam yemegi dahil 60 tl ucreti gunu birlik gidecekseniz sadece 20 tl tekne ucreti var. Kesinlikle gorulmesi gereken bir guzellik kelebekler vadisi :)BLOG: https://www.kampyerleri.org/kelebekler-vadisi-kamp-alani-ve-gezi-rehberi-fethiye/Kaynak: https://www.instagram.com/cikolataopucugu/
Kabak Koyu;29.125303,36.46108;Fethiye Oludeniz'in 16 kilometre dogusunda bulunan Faralya Koyu cevresinde bircok sakli cennet barindiriyor.Bunlardan birisi de denize meyilli bir yamacta, kizil cam ormanlari icinde Kabak Koyu (Gemile Koyu) Vadisi'dir. Koyun Likya Yolu uzerinde bulunmasi ve eldegmemis dogasiyla cennet gorunumu yerli ve yabanci turistlerin ilgi odagi haline gelmistir.BLOG: https://www.kampyerleri.org/kabak-koyu-kamp-alani-ve-gezi-rehberi-fethiye-mugla/
Ölüdeniz Plajı;29.1311824,36.441214;Cennet Koyu, Fethiye, Mugla.Kaynak: https://www.instagram.com/dlksrcnozel/
JJ Beach Park - Büyük Boncuklu Koyu;29.0768516,36.6274925;Mugla Fethiye'de yarimadada bulunan ve sehir merkezine yakinligi ile dikkat ceken JJ Beach Park acildi.Masmavi denizi, uzun kumsali, kamp alani, mangal alanlari, restaurant, bar ve marketi ile hizmete baslamistir.20 dakika araliklarla gecen minibusler ile veya kendi araciniz ile Fethiye sehir merkezinden 5 dakikada ulasabilirsiniz.Hem kamp yapmak, hem de masmavi denizin tadini cikarmak isteyenler icin guzel bir alternatif.2018 Kamp ucretleriKendi cadirinizi kurarsaniz kisi basi gunluk 10 tlCadir kiralamak kisi basi gunluk 30 tlILETISIM: 0542 477 6494SOSYAL MEDYA:INSTAGRAM: https://www.instagram.com/jjbeachpark/FACEBOOK: https://www.facebook.com/jjbeachpark/
Babadağ;29.1848803,36.5283983;Babadag guney-bati Turkiye'de dogu Akdeniz Bolgesi'ndeki Mugla ilinin Fethiye ilcesinde bulunan bir dag'dir. Kamp yapmak icin ideal yerler arasindadir.Kaynak: https://www.instagram.com/gezgincekirge/
Gemile Koyu;29.0599751,36.5584075;Gemile Koyu, Gemile Plaji ve hemen karsisindaki Gemile Adasi Mugla 'nin Fethiye ilcesinin Uzunyurt mahallesi sinirlari icinde bulunan 1. Derece Dogal Sit Alani 'dir. Kamp yapmak yasaktir tabelalari gorulse de zaman zaman cadir ve karavan gormek mumkundur.Kaynak: https://www.instagram.com/roadtothaka/
Darboğaz Koyu;29.0504533,36.5562659;Darbogaz Koyu, Fethiye, Mugla.Kaynak: https://www.instagram.com/duyguatayan/
Soğuk Su Koyu;29.0531516,36.5583946;Yesil Vadi, Fethiye. Agaclarin uzerinde kamp yapmaya ne dersiniz :)Kaynak: https://www.instagram.com/ozgurruh1/
Turgut Şelalesi;28.6145782,36.8856621;Koycegiz Golu, Mentese yoresinde, Mugla ilinin guneydogusunda yer alan Koycegiz golu tektonik bir cukurlugun sularla dolmasi ve Dalaman cayinin getirdigi aluvyonlarin korfezin onunu tikamasi sonucu olusmustur.Kaynak: https://www.instagram.com/dlksrcnozel/
Kurubük - Datça;27.5380468,36.6759442;Datca, Kurubuk, MuglaKaynak: https://www.instagram.com/gokselbaba/
Kucuk Sarsala Koyu Dalaman;28.8566198999999,36.656288;Sarsala Koyu  kucuk iskelesi, korunakli yapisi ve dingin sulari ile Mugla'nin Dalaman ilcesine yaklasik 15 kilometre uzaklikta yer alan bir koydur.  Sarsala, bozulmamis dogasi ve masmavi deniziyle cenneti andiran bir gorunume sahip. Ilk gordugunuz anda guzelliginin etkisi altina gireceginiz bu muhtesem koyun berrak sularina dalip, baliklarla yuzmenin keyfini cikarin.  Koy simdi mavi yolculuga cikan tekne ve yatlarin ugrak yerlerinden biri. Camlarla denizin kucaklastigi, hic bir yapilasmanin olmadigi tertemiz deniz ve kumsala sahiptir. Havaalani yolundan Kapukargin koyu uzerinden gecilerek gidilen orman yolu, Dalaman cayinin kollarindan Tersakan Cayinin yanindan ve denize baglantili kukurtlu bir cok golun cevresinden geciyor. Son derece keyifli goruntulerin eslik ettigi yolculuk Sarsala Koyu'nun zirvesine ulastiginda gercekten de sarsici bir panoramaya donusuyor. Bu koy, gunumuzde tekne ve yatlarin mavi yolculuk guzergahlarinin uzerinde en populer noktalarindan biri olarak yer almaktadir. Tekneler, Kapidagi Yarimadasi uzerinde Sarsala, Bungus, Siralibuk, Kursunlu ve Tasyaka (Bedri Rahmi) ve koylara giden mavi yolculuk guzergahini izlemektedir.  Sarsala Koyu'nda kamp ve doga sporlari yapilabilmektedir.  : https://www.instagram.com/busrahamamci/
Datça Kargı Koyu;27.6755691,36.7003049;Yolu Mugla Datca'ya dusen herkesin ugramasi gereken bir yer Kargi Koyu.Koyun girisinde veya ortasinda ki sogut agaclarinin altina kamp kurabilirsiniz,gece yakamozu,sabah gunesin o muhtesem dogusunu izleyebilirsiniz,denizi de efsanedir bu arada 15-20 metreye kadar ciplak gozle gorebilirsiniz.Fotograf: Eray Ozan Bulut
